Time,Angle
32.12,-0.03
32.13,0.07
32.14,0.14
32.15,0.11
32.16,0.02
32.17,0.02
32.18,0.11
32.19,0.14
32.20,0.04
32.21,0.03
32.22,0.08
32.23,0.08
32.24,0.07
32.25,0.03
32.26,0.04
32.27,0.09
32.28,0.07
32.29,0.03
32.30,0.05
32.31,0.06
32.32,0.05
32.33,0.05
32.34,0.06
32.35,0.09
32.36,0.07
32.37,0.04
32.38,0.05
32.39,0.06
32.40,0.09
32.41,0.12
32.42,0.07
32.43,-0.04
32.44,0.06
32.45,0.13
32.46,0.08
32.47,0.03
32.48,0.01
32.49,0.08
32.50,0.10
32.51,0.06
32.52,0.02
32.53,0.07
32.54,0.11
32.55,0.08
32.56,0.07
32.57,0.07
32.58,0.09
32.59,0.09
32.60,0.05
32.61,0.06
32.62,0.10
32.63,0.08
32.64,0.08
32.65,0.10
32.66,0.11
32.67,0.11
32.68,0.07
32.69,0.04
32.70,0.08
32.71,0.10
32.72,0.04
32.73,0.01
32.74,0.20
32.75,0.13
32.76,-0.01
32.77,0.03
32.78,0.14
32.79,0.15
32.80,0.05
32.81,-0.03
32.82,0.08
32.83,0.15
32.84,0.08
32.85,0.02
32.86,0.03
32.87,0.10
32.88,0.09
32.89,0.01
32.90,0.03
32.91,0.07
32.92,0.06
32.93,0.05
32.94,0.05
32.95,0.07
32.96,0.09
32.97,0.05
32.98,0.03
32.99,0.07
33.00,0.06
33.01,0.01
33.02,0.05
33.03,0.08
33.04,0.04
33.05,0.01
33.06,0.06
33.07,0.04
33.08,0.09
33.09,0.09
33.10,0.06
33.11,0.09
33.12,-0.03
33.13,0.05
33.14,0.12
33.15,0.09
33.16,0.01
33.17,0.04
33.18,0.08
33.19,0.09
33.20,0.07
33.21,0.06
33.22,0.07
33.23,0.10
33.24,0.06
33.25,0.07
33.26,0.07
33.27,0.09
33.28,0.07
33.29,0.08
33.30,0.07
33.31,0.09
33.32,0.10
33.33,0.08
33.34,0.10
33.35,0.07
33.36,0.08
33.37,0.12
33.38,0.10
33.39,0.09
33.40,0.09
33.41,0.03
33.42,0.02
33.43,0.22
33.44,0.13
33.45,-0.00
33.46,0.03
33.47,0.13
33.48,0.12
33.49,0.06
33.50,0.02
33.51,0.08
33.52,0.12
33.53,0.06
33.54,0.03
33.55,0.07
33.56,0.10
33.57,0.07
33.58,0.04
33.59,0.04
33.60,0.07
33.61,0.07
33.62,0.05
33.63,0.04
33.64,0.05
33.65,0.05
33.66,0.04
33.67,0.03
33.68,0.07
33.69,0.07
33.70,0.01
33.71,0.05
33.72,0.19
33.73,0.00
33.74,-0.11
33.75,0.05
33.76,0.18
33.77,0.07
33.78,-0.03
33.79,-0.00
33.80,0.13
33.81,0.13
33.82,0.04
33.83,0.00
33.84,0.08
33.85,0.12
33.86,0.08
33.87,0.04
33.88,0.07
33.89,0.11
33.90,0.09
33.91,0.06
33.92,0.08
33.93,0.11
33.94,0.10
33.95,0.08
33.96,0.08
33.97,0.09
33.98,0.10
33.99,0.10
34.00,0.09
34.01,0.11
34.02,0.05
34.03,-0.13
34.04,-0.01
34.05,0.09
34.06,0.03
34.07,-0.02
34.08,-0.04
34.09,-0.01
34.10,0.02
34.11,0.14
34.12,-0.02
34.13,-0.07
34.14,0.01
34.15,0.03
34.16,-0.02
34.17,-0.12
34.18,-0.08
34.19,0.00
34.20,0.07
34.21,-0.02
34.22,-0.17
34.23,-0.12
34.24,0.17
34.25,0.09
34.26,-0.17
34.27,0.06
34.28,0.10
34.29,0.09
34.30,0.09
34.31,-0.02
34.32,0.14
34.33,0.15
34.34,0.19
34.35,0.02
34.36,0.14
34.37,0.23
34.38,0.23
34.39,0.15
34.40,0.11
34.41,0.23
34.42,0.22
34.43,0.17
34.44,0.22
34.45,0.14
34.46,0.17
34.47,0.24
34.48,0.17
34.49,0.11
34.50,0.14
34.51,0.18
34.52,0.15
34.53,0.08
34.54,0.09
34.55,0.19
34.56,0.15
34.57,0.02
34.58,0.01
34.59,0.12
34.60,0.17
34.61,0.12
34.62,-0.00
34.63,-0.02
34.64,0.12
34.65,0.16
34.66,0.06
34.67,-0.01
34.68,-0.00
34.69,0.13
34.70,0.16
34.71,0.07
34.72,-0.02
34.73,0.05
34.74,0.17
34.75,0.17
34.76,0.07
34.77,0.04
34.78,0.08
34.79,0.15
34.80,0.20
34.81,0.11
34.82,0.05
34.83,0.12
34.84,0.16
34.85,0.13
34.86,0.14
34.87,0.11
34.88,0.12
34.89,0.14
34.90,0.12
34.91,0.12
34.92,0.11
34.93,0.13
34.94,0.11
34.95,0.03
34.96,0.21
34.97,0.19
34.98,0.06
34.99,0.04
35.00,0.09
35.01,0.14
35.02,0.10
35.03,0.03
35.04,0.07
